ordre;code;Titre;Matiere;Editeur;Edition;"Tarif neuf";Classe;occasion;neuf
1;9782218926983;"SCIENCES ECONOMIQUES ET SOCIALES 1i �re. Coordination�: Joelle BAILS ";SES;HATIER;2007;27.50;"1 ES";1;1
1;9782047294147;"SVT 1ES - Tavernier-Lizeaux";SVT;BORDAS;2002;29.50;"Prem ES";1;1
101;9782735220014;"Francais  - Oeuvres et Textes Littéraires - Jordy";Français;Bertand-Lacoste;2007;27.90;"1 L.ES.S";1;1
102;9782091794259;"Français Méthodes et Techniques  (couverture rouge) Poulzalgues-Damon";FRANCAIS;NATHAN;2004;21.00;Prem;1;1
103;9782749500942;"Histoire 1ère L.ES  (utilisé aussi pour les 1ères S)";HISTOIRE;BREAL;2003;26.00;Prem;1;1
104;9782210103535;"L Europe, La France - J.F. JOLY, J. JALTA";GEOGRAPHIE;MAGNARD;2007;26.50;Prem;1;1
105;9782218749872;"SCIENCES ECONOMIQUES ET SOCIALES 1i ère. Coordination : Joelle BAILS ";SES;HATIER;2005;27.50;Prem;1;1
106;9782091739151;"PROJEKT Deutsch NEU";"ALLD LV.1 et  LV.2";NATHAN;2007;22.80;Prem;1;1
107;9782278055456;"GOING PLACES 1ERE JL BORDRON J. BOURJAULT  S. DAGUENET S. WALTERS";"ANGLAIS LVI et LV2";DIDIER;2004;19.20;"Prem S ES";1;1
108;9782904218231;Claridad;"ESPAGNOL LV2  LV3";MARTORANA;2004;17.00;"Toutes classes";1;1
109;9782011695505;"Bled Italien Carmelina Boi";"ITALIEN LV2";HACHETTE;2007;11.00;"Toutes classes";1;1
110;9782278056187;"Modulo Maths 1ère ES - obligatoire";"MATHS ES";DIDIER;2005;26.50;"Prem ES";1;1
111;9782278056194;"Modulo Maths 1ère ES  obligatoire + option";"MATHS ES ";DIDIER;2005;31.70;"Prem ES";1;1
112;9782091724133;"Transmath Programme 2001";"MATHS S";"NATHAN ";2001;37.50;"Prem S";1;1
113;9782701140278;"PARISI   Physique 1ERE S";"PHYSIQUE S";BELIN;2005;27.50;"Prem S";1;1
114;9782701140261;"PARISI   Chimie 1ERE S";"Chimie S";BELIN;2005;27.50;"Prem S";1;1
115;9782047322307;"Enseignement Scientifique SVT-Physique-Chimie 1ere L";"Sciences L";BORDAS;2007;27.40;"Prem L";1;1
117;9782218734229;"S.V.T.  Bergeron";"SVT S";HATIER;2001;31.50;"Prem S";1;1
118;9782218930881;"Le Français Méthodique   H.Sabbah";FRANCAIS;HATIER;2008;19.50;"Prem STG";1;1
119;9782210102156;"STG Histoire Geographie 1ere SOUTENET RIQUIER  MARQUIS";"HISTOIRE GEO STG";MAGNARD;2006;25.50;"Prem STG";1;1
120;9782735221417;"Les dossiers Economie 1ere STG Philippe Le Bolloch Yvon Le Fiblec";ECONOMIE;"Bertrand LACOSTE";2009;14.90;"Prem STG";1;1
121;9782735221431;"Les dossiers Droit 1ere STG Philippe Le Bolloch Yvon Le Fiblec";DROIT;"Bertrand LACOSTE";2009;14.90;"Prem STG";1;1
122;9782735221455;"Management des organisations - Les dossiers - 1ere STG   Le Bolloch 2009";"MANAG. ORGANISATIONS";"Bertrand LACOSTE";2009;14.90;"Prem STG";1;1
123;9782011805423;"Information & Communication   spé. Comm.";COMMUNICATION;"HACHETTE Technique";2008;15.90;"Prem STG";1;1
124;9782744618994;"Information-gestion 1STG spé communication – 2COM";GESTION;"FONTAINE PICARD";2010;13.30;"Prem STG";0;1
125;9782091794563;"MATHEMATIQUES 1 STG Pgme 2005  A. Hugon";MATHS;"NATHAN ";2005;21.50;"Prem STG";1;1
126;9782011805447;"Information & Communication   spé. Gestion";COMMUNICATION;"HACHETTE Technique";2008;14.50;"Prem STG";1;1
127;9782744619014;"Information-gestion 1STG spé gestion – 2GES";GESTION;"FONTAINE PICARD";2010;13.75;"Prem STG";0;1
