ordre;code;Titre;Matiere;Editeur;Edition;"Tarif neuf";Classe;occasion;neuf
201;9782210441132;"Français 2e - Livre unique - Collection Empreintes littéraires";FRANÇAIS;MAGNARD;2011;29.90;Seconde;0;1
202;9782091727769;"Histoire 2de – Collection G. Le Quintrec (2010) - Grand format";HISTOIRE;NATHAN;2010;27.50;Seconde;1;1
203;9782091727776;"Histoire 2de – Collection G. Le Quintrec (2010) – Petit format";HISTOIRE;NATHAN;2010;27.50;Seconde;1;1
204;9782218944130;"Sociétés et développement durable - Annette CIATTONI (2010) Grand format";GEOGRAPHIE;HATIER;2010;27.50;Seconde;1;1
205;9782218946578;"Sociétés et développement durable - Annette CIATTONI (2010) Petit format";GEOGRAPHIE;HATIER;2010;27.00;Seconde;1;1
206;9782218944253;"Odyssee Mathématiques 2de GF";MATHS;HATIER;2010;27.00;Seconde;1;1
207;9782218946462;"Odyssee Mathématiques 2de Compact";MATHS;HATIER;2010;26.00;Seconde;1;1
208;9782047326732;"E.S.P.A.C.E 2de Grand Format (Éd. 2010)";"SC. PHYSIQUES";BORDAS;2010;28.60;Seconde;1;1
209;9782047327593;"E.S.P.A.C.E 2de Petit Format (Éd. 2010)";"SC. PHYSIQUES";BORDAS;2010;27.60;Seconde;1;1
210;9782047326701;"SVT 2de Lizeaux - Baude  Grand format (Éd. 2010)";S.V.T;BORDAS;2010;28.00;Seconde;1;1
210;9782356850577;"Team Deutsch lycée – 2nde";"ALLEMAND LV1 ET LV2";"Maison des langues";2010;22.00;Seconde;0;1
211;9782047327586;"SVT 2de Lizeaux - Baude  Petit format (Éd. 2010)";S.V.T;BORDAS;2010;27.00;Seconde;1;1
213;9782278067046;"New Projets 2nde Doing things with words";"ANGLAIS LV1 ET LV2";DIDIER;2010;21.00;Seconde;0;1
214;9782904218231;"Claridad ";"ESPAGNOL LV2  LV3";MARTORANA;2004;16.15;"Toutes classes";1;1
215;9782091728643;"Latin 2nde J. GAILLARD";LATIN;NATHAN;2008;23.00;Seconde;1;1
