ordre;code;Titre;Matiere;Editeur;Edition;"Tarif neuf";Classe;occasion;neuf
1;9782210103610;"Geographie - Espace Mondial - Terminale S";Geographie;MAGNARD;2008;27.80;"Term. S";1;1
1;9782091756455;"Anglais Term. L-ES-S";Anglais;Nathan;2003;21.90;Terminale;1;1
301;9782749508221;"Histoire Tle L-ES-S -  T. Gasmier";Histoire;Bréal;2008;29.00;Terminale;1;1
302;9782210103603;"Géographie Tle L-ES-S - Espace mondial – Jalta";Geographie;Magnard;2008;27.80;Terminale;1;1
303;9782011354341;"Déclic Terminale ES  ens. Obligatoire";"Maths-ES ";HACHETTE;2006;28.50;"T ES";1;1
304;9782011354358;"Déclic Terminale ES   ens. Obligatoire ET  Spécialité";"Maths-ES ";HACHETTE;2006;34.50;"T ES Spé Math";1;1
305;9782091724768;"HYPERBOLE Maths Term. S Oblig.";"MATHS S ";NATHAN;2006;37.60;"T S";1;1
306;9782047295984;"INDICE  Mathématiques T S spéc. - programme 2002";"MATHS S";BORDAS;2002;21.00;"T S Spé Math";1;1
307;9782701143330;"Physique Term S -  Collection PARISI TS oblig  Nvelle Edition";PHYSIQUE;BELIN;2006;28.50;"T S";1;1
308;9782701143088;"Chimie Term S - Collection PARISI - Nvelle Edition";CHIMIE;BELIN;2002;28.50;"T S";1;1
309;9782701131399;"Physique-chimie  TS : Spécialité -  Collection PARISI ";"PHYSIQUE CHIMIE";BELIN;2002;18.50;"T S Spé PC";1;1
310;9782047295847;"SVT Collection TAVERNIER LIZEAUX Enseignement Obligatoire";S.V.T.;BORDAS;2002;32.90;"T S";1;1
311;9782047295854;"SVT Collection TAVERNIER LIZEAUX Spécialité";S.V.T.;BORDAS;2002;22.40;"T S Spé SVT";1;1
312;9782707152251;"Nouveau Manuel SES Term ES   Combemale";S.E.S.;"La decouverte";2007;28.50;"T ES";1;1
313;9782047320310;"Allemand Terminale – WELTEN Sollfrank-Deshusses Term. LV1-LV2 ";"ALLEMAND LV1 et LV2";BORDAS;2005;20.10;"T L-ES-S";1;1
314;9782091739403;"Broad Ways Anglais Term. L-ES-S";"ANGLAIS LV1 ET LV2";NATHAN;2005;21.90;"T L-ES-S";1;1
315;9782904218231;Claridad;"ESPAGNOL LV2  LV3";MARTORANA;2004;17.00;"Toutes classes";1;1
316;9782011695505;"Bled Italien Carmelina Boi";"ITALIEN LV2";HACHETTE;2007;11.00;"Toutes classes";1;1
317;9782011350930;"Appunto terminale – Cahier de préparation au bac";"ITALIEN LV2";HACHETTE;1997;12.80;"Toutes classes";1;1
318;9782035837516;"Dictionnaire Russe Maxi-Poche – Pauliat";RUSSE;Hachette;2008;17.50;"Toutes classes";1;1
319;9782210102170;"Histoire-Géographie Term STG - Mellina";"HISTOIRE - GEO STG";MAGNARD;2007;26.00;"T STG";1;1
320;9782091798813;"Mathématiques Terminale STG – Spé. Comptabilité Finance Entreprise – Intervalle";"MATHS STG Mercatique";NATHAN;2006;21.70;"T STG";1;1
321;9782278058501;"Alternative Terminale LV1 LV2 - Audibert";"ALLEMAND LV1 et LV2";DIDIER;2006;21.50;"T STG";1;1
322;9782735221479;"Economie TERMINALE STG – Les Dossiers – Le Bolloch/Le Fiblec";ECONOMIE;LACOSTE;2009;14.90;"T STG";0;1
323;9782735221493;"Droit TERMINALE STG  – Les Dossiers – Le Bolloch/Le Fiblec";DROIT;LACOSTE;2009;14.90;"T STG";0;1
324;9782735221592;"Management des Organisations - Term STG - Les Dossiers –";MANAGEMENT;"LACOSTE ";2010;14.90;"T STG";0;1
325;9782735222117;"Mercatique Terminale STG – Spé. Mercatique";MERCATIQUE;LACOSTE;2010;19.20;"T STG";0;1
326;9782091605562;"Communication et Gestion des ressources humaines - Terminale STG – Les Spécialités ";"Gestion RH";NATHAN;2010;19.30;"T STG";0;1
327;9782011803627;"COMPTABILITE et F.E. Terminale STG  Burnens  Da Costa  Marcel  Noël";"COMPTA FINANCES";HACHETTE;2006;18.90;"T STG";1;1
